ITEM,CONDITION,FREQUENCY,PERSON_NUMBER,SENTENCE,GROUP,TYPE
3044,.,.,.,Biz sizinle geceleri mekanlarda çıldırıyorsunuz.,6,filler
3014,.,.,.,Yarın işi bırakacağından mutsuzlarmıştı.,6,filler
3038,.,.,.,Yarın aylaklık yüzünden kalemler aradım.,6,filler
5043,4,infreq,2pl,Dün akşam ayakkabı boyatasınız yokmuş.,6,item
3011,.,.,.,Yılbaşı için tavuğu haşlamana şaşırdık.,6,filler
3020,.,.,.,Sinema etkinliğine sıkıcılaştırmamızda ısrarcısınız.,6,filler
5006,1,freq,3pl,Hafta sonu barınağa gidesileri varmış.,6,item
3032,.,.,.,Sırtınızı devlete dayamışsınız.,6,filler
3048,.,.,.,Akşamki rüzgar korkunç şekilde binayı esti.,6,filler
3004,.,.,.,Bana makarna pişireceğine söz vermiştin.,6,filler
5047,4,infreq,3sg,Yarışmada ödülü bölüşesi yokmuş.,6,item
3031,.,.,.,Sen her zaman başarılı oldun.,6,filler
5020,2,infreq,3pl,Okulda hocayla dertleşesileri yokmuş.,6,item
3027,.,.,.,Genellikle yemekten sonra mutfağı toplarım.,6,filler
3030,.,.,.,Bu arabanın yakıtı çok ekonomik.,6,filler
3006,.,.,.,Ders çalışmam herkesi hayrete düşürdü.,6,filler
5045,4,infreq,1sg,Pazarda satıcıyı oyalayasım yok.,6,item
3012,.,.,.,Benim için bu kadar çabalaması beni sevdiğini gösteriyor.,6,filler
3041,.,.,.,Bu akşam memleketten sel basmış.,6,filler
3009,.,.,.,Suçsuz olduğunuzu kanıtlamaya çalışıyorduk.,6,filler
5016,2,infreq,3pl,Mahkemede katille yüzleşesileri varmış.,6,item
3010,.,.,.,Bu projeyi hayata geçirdiğimizi duymuşsunuz.,6,filler
3001,.,.,.,Anneni özlediğini bilmiyordum.,6,filler
5008,1,freq,3pl,Müsabakada taraftara bakasıları yokmuş.,6,item
3022,.,.,.,Şu deveyi omuzlayabileceğini düşünmüştüktü.,6,filler
5027,3,freq,1sg,Haftaya bisiklet alasım var.,6,item
3024,.,.,.,Koltuklar tepelerinde oturduğunu ezberledik.,6,filler
5041,4,infreq,2sg,Bugün ufaklığı şımartasın varmış.,6,item
3015,.,.,.,Kutuyu satması çok zahmetli olmakta değil.,6,filler
3033,.,.,.,Bu cinayetin failini bulmuşlar.,6,filler
3003,.,.,.,Senin onu sevdiğini anlamışlar.,6,filler
5002,1,freq,3pl,Bu akşam ödevi yapasıları varmış.,6,item
3047,.,.,.,Seyir halindeyken şarkı dinlemişsindi.,6,filler
5039,4,infreq,2pl,Yarın sabah halı silkeleyesiniz varmış.,6,item
3040,.,.,.,Sabahleyin yeri düşmüşsün galiba.,6,filler
3007,.,.,.,Kedinin kumunu temizlerken yere dökmüşsün.,6,filler
5025,3,freq,1sg,Partide tatlı yiyesim vardı.,6,item
3039,.,.,.,Çorbacı yerleri siliyorlar.,6,filler
3026,.,.,.,Yarın akşam ailecek film izleyeceğiz.,6,filler
3016,.,.,.,Ceplerimizden fırladığını kıskanıyor ve heyecanlandırdım.,6,filler
3029,.,.,.,Her hafta en az bir kitap bitirirdik.,6,filler
5012,1,freq,3pl,Ekranda gerçeği söyleyesileri yokmuş.,6,item
3034,.,.,.,Yönetmenler oyuncuları birbirine benzetmişlerdi.,6,filler
3005,.,.,.,Şiir okuyuşuna hayran kaldım.,6,filler
3025,.,.,.,Motorlar olay yerinden hızla uzaklaştı.,6,filler
5029,3,freq,3sg,Hastanede merdivenden çıkası varmış.,6,item
3028,.,.,.,Evin duvarlarını tablolarla süsleyin.,6,filler
3045,.,.,.,Benle arkadaşlarım hafta sonu takıldım.,6,filler
5004,1,freq,3pl,Yarın akşam zanlıyı göresileri varmış.,6,item
3037,.,.,.,Kediler koşarak çöpe saklandık.,6,filler
5031,3,freq,3sg,Bu sabah müşteriyi arayası yokmuş.,6,item
3043,.,.,.,Yazınki tatil planım bozuyorlar.,6,filler
3021,.,.,.,En parlak dimağlar etmeyi göç yarın kararlaştırmışlar.,6,filler
5033,3,freq,1pl,Yazın sınava giresimiz yok.,6,item
3017,.,.,.,Senden hoşlandığımız duyulduk.,6,filler
3046,.,.,.,Seneye bir köye inzivaya çekilmişsin.,6,filler
5010,1,freq,3pl,Yarın akşam antremana başlayasıları yokmuş.,6,item
3002,.,.,.,Metroya binmekten çok yoruldular.,6,filler
5014,2,infreq,3pl,Krizde vatandaşı kazıklayasıları varmış.,6,item
3013,.,.,.,Dersaneye yazıldığımıza kimseye bahsetme.,6,filler
3042,.,.,.,Perşembe pazarındaki elmaları çürüdük.,6,filler
5037,4,infreq,1pl,Yayında kaydı dinletesimiz var.,6,item
3023,.,.,.,Yarın bütün onurunu ayaklar altında ezmekteyim.,6,filler
5022,2,infreq,3pl,Gece kule gözetleyesileri yokmuş.,6,item
5041,4,infreq,2sg,Bugün ufaklığı şımartasın varmış.,7,item
3024,.,.,.,Koltuklar tepelerinde oturduğunu ezberledik.,7,filler
5027,3,freq,1sg,Haftaya bisiklet alasım var.,7,item
3022,.,.,.,Şu deveyi omuzlayabileceğini düşünmüştüktü.,7,filler
5008,1,freq,3pl,Müsabakada taraftara bakasıları yokmuş.,7,item
3001,.,.,.,Anneni özlediğini bilmiyordum.,7,filler
3010,.,.,.,Bu projeyi hayata geçirdiğimizi duymuşsunuz.,7,filler
5016,2,infreq,3pl,Mahkemede katille yüzleşesileri varmış.,7,item
3009,.,.,.,Suçsuz olduğunuzu kanıtlamaya çalışıyorduk.,7,filler
3041,.,.,.,Bu akşam memleketten sel basmış.,7,filler
3012,.,.,.,Benim için bu kadar çabalaması beni sevdiğini gösteriyor.,7,filler
5045,4,infreq,1sg,Pazarda satıcıyı oyalayasım yok.,7,item
3006,.,.,.,Ders çalışmam herkesi hayrete düşürdü.,7,filler
3030,.,.,.,Bu arabanın yakıtı çok ekonomik.,7,filler
3027,.,.,.,Genellikle yemekten sonra mutfağı toplarım.,7,filler
5020,2,infreq,3pl,Okulda hocayla dertleşesileri yokmuş.,7,item
3031,.,.,.,Sen her zaman başarılı oldun.,7,filler
5047,4,infreq,3sg,Yarışmada ödülü bölüşesi yokmuş.,7,item
3004,.,.,.,Bana makarna pişireceğine söz vermiştin.,7,filler
3048,.,.,.,Akşamki rüzgar korkunç şekilde binayı esti.,7,filler
3032,.,.,.,Sırtınızı devlete dayamışsınız.,7,filler
5006,1,freq,3pl,Hafta sonu barınağa gidesileri varmış.,7,item
3020,.,.,.,Sinema etkinliğine sıkıcılaştırmamızda ısrarcısınız.,7,filler
3011,.,.,.,Yılbaşı için tavuğu haşlamana şaşırdık.,7,filler
5043,4,infreq,2pl,Dün akşam ayakkabı boyatasınız yokmuş.,7,item
3038,.,.,.,Yarın aylaklık yüzünden kalemler aradım.,7,filler
3014,.,.,.,Yarın işi bırakacağından mutsuzlarmıştı.,7,filler
3044,.,.,.,Biz sizinle geceleri mekanlarda çıldırıyorsunuz.,7,filler
5024,2,infreq,3pl,Görüşmede arabulucuyla uzlaşasıları yokmuş.,7,item
3018,.,.,.,Kendimi büyük sanıyormuşsun.,7,filler
5035,3,freq,3sg,Bu yaşta sokakta kalası yokmuş.,7,item
3019,.,.,.,Dün gece herkesle selam verdiğimi tespitliyormuşsunuz.,7,filler
3036,.,.,.,Dün akşam evde fasulye ayıkladım.,7,filler
3008,.,.,.,Nişanlısıyla tanışmayı siz de çok istiyormuşsunuz.,7,filler
5018,2,infreq,3pl,Programda seyirciyi coşturasıları varmış.,7,item
3035,.,.,.,Yarın mahkemeye çıkarılacakmışsınız.,7,filler
5022,2,infreq,3pl,Gece kule gözetleyesileri yokmuş.,7,item
3023,.,.,.,Yarın bütün onurunu ayaklar altında ezmekteyim.,7,filler
5037,4,infreq,1pl,Yayında kaydı dinletesimiz var.,7,item
3042,.,.,.,Perşembe pazarındaki elmaları çürüdük.,7,filler
3013,.,.,.,Dersaneye yazıldığımıza kimseye bahsetme.,7,filler
5014,2,infreq,3pl,Krizde vatandaşı kazıklayasıları varmış.,7,item
3002,.,.,.,Metroya binmekten çok yoruldular.,7,filler
5010,1,freq,3pl,Yarın akşam antremana başlayasıları yokmuş.,7,item
3046,.,.,.,Seneye bir köye inzivaya çekilmişsin.,7,filler
3017,.,.,.,Senden hoşlandığımız duyulduk.,7,filler
5033,3,freq,1pl,Yazın sınava giresimiz yok.,7,item
3021,.,.,.,En parlak dimağlar etmeyi göç yarın kararlaştırmışlar.,7,filler
3043,.,.,.,Yazınki tatil planım bozuyorlar.,7,filler
5031,3,freq,3sg,Bu sabah müşteriyi arayası yokmuş.,7,item
3037,.,.,.,Kediler koşarak çöpe saklandık.,7,filler
5004,1,freq,3pl,Yarın akşam zanlıyı göresileri varmış.,7,item
3045,.,.,.,Benle arkadaşlarım hafta sonu takıldım.,7,filler
3028,.,.,.,Evin duvarlarını tablolarla süsleyin.,7,filler
5029,3,freq,3sg,Hastanede merdivenden çıkası varmış.,7,item
3025,.,.,.,Motorlar olay yerinden hızla uzaklaştı.,7,filler
3005,.,.,.,Şiir okuyuşuna hayran kaldım.,7,filler
3034,.,.,.,Yönetmenler oyuncuları birbirine benzetmişlerdi.,7,filler
5012,1,freq,3pl,Ekranda gerçeği söyleyesileri yokmuş.,7,item
3029,.,.,.,Her hafta en az bir kitap bitirirdik.,7,filler
3016,.,.,.,Ceplerimizden fırladığını kıskanıyor ve heyecanlandırdım.,7,filler
3026,.,.,.,Yarın akşam ailecek film izleyeceğiz.,7,filler
3039,.,.,.,Çorbacı yerleri siliyorlar.,7,filler
5025,3,freq,1sg,Partide tatlı yiyesim vardı.,7,item
3007,.,.,.,Kedinin kumunu temizlerken yere dökmüşsün.,7,filler
3040,.,.,.,Sabahleyin yeri düşmüşsün galiba.,7,filler
5039,4,infreq,2pl,Yarın sabah halı silkeleyesiniz varmış.,7,item
3047,.,.,.,Seyir halindeyken şarkı dinlemişsindi.,7,filler
5002,1,freq,3pl,Bu akşam ödevi yapasıları varmış.,7,item
3003,.,.,.,Senin onu sevdiğini anlamışlar.,7,filler
3033,.,.,.,Bu cinayetin failini bulmuşlar.,7,filler
3015,.,.,.,Kutuyu satması çok zahmetli olmakta değil.,7,filler
3015,.,.,.,Kutuyu satması çok zahmetli olmakta değil.,8,filler
3033,.,.,.,Bu cinayetin failini bulmuşlar.,8,filler
3003,.,.,.,Senin onu sevdiğini anlamışlar.,8,filler
5002,1,freq,3pl,Bu akşam ödevi yapasıları varmış.,8,item
3047,.,.,.,Seyir halindeyken şarkı dinlemişsindi.,8,filler
5039,4,infreq,2pl,Yarın sabah halı silkeleyesiniz varmış.,8,item
3040,.,.,.,Sabahleyin yeri düşmüşsün galiba.,8,filler
3007,.,.,.,Kedinin kumunu temizlerken yere dökmüşsün.,8,filler
5025,3,freq,1sg,Partide tatlı yiyesim vardı.,8,item
3039,.,.,.,Çorbacı yerleri siliyorlar.,8,filler
3026,.,.,.,Yarın akşam ailecek film izleyeceğiz.,8,filler
3016,.,.,.,Ceplerimizden fırladığını kıskanıyor ve heyecanlandırdım.,8,filler
3029,.,.,.,Her hafta en az bir kitap bitirirdik.,8,filler
5012,1,freq,3pl,Ekranda gerçeği söyleyesileri yokmuş.,8,item
3034,.,.,.,Yönetmenler oyuncuları birbirine benzetmişlerdi.,8,filler
3005,.,.,.,Şiir okuyuşuna hayran kaldım.,8,filler
3025,.,.,.,Motorlar olay yerinden hızla uzaklaştı.,8,filler
5029,3,freq,3sg,Hastanede merdivenden çıkası varmış.,8,item
3028,.,.,.,Evin duvarlarını tablolarla süsleyin.,8,filler
3045,.,.,.,Benle arkadaşlarım hafta sonu takıldım.,8,filler
5004,1,freq,3pl,Yarın akşam zanlıyı göresileri varmış.,8,item
3037,.,.,.,Kediler koşarak çöpe saklandık.,8,filler
5031,3,freq,3sg,Bu sabah müşteriyi arayası yokmuş.,8,item
3043,.,.,.,Yazınki tatil planım bozuyorlar.,8,filler
3021,.,.,.,En parlak dimağlar etmeyi göç yarın kararlaştırmışlar.,8,filler
5033,3,freq,1pl,Yazın sınava giresimiz yok.,8,item
3017,.,.,.,Senden hoşlandığımız duyulduk.,8,filler
3046,.,.,.,Seneye bir köye inzivaya çekilmişsin.,8,filler
5010,1,freq,3pl,Yarın akşam antremana başlayasıları yokmuş.,8,item
3002,.,.,.,Metroya binmekten çok yoruldular.,8,filler
5014,2,infreq,3pl,Krizde vatandaşı kazıklayasıları varmış.,8,item
3013,.,.,.,Dersaneye yazıldığımıza kimseye bahsetme.,8,filler
3042,.,.,.,Perşembe pazarındaki elmaları çürüdük.,8,filler
5037,4,infreq,1pl,Yayında kaydı dinletesimiz var.,8,item
3023,.,.,.,Yarın bütün onurunu ayaklar altında ezmekteyim.,8,filler
5022,2,infreq,3pl,Gece kule gözetleyesileri yokmuş.,8,item
3035,.,.,.,Yarın mahkemeye çıkarılacakmışsınız.,8,filler
5018,2,infreq,3pl,Programda seyirciyi coşturasıları varmış.,8,item
3008,.,.,.,Nişanlısıyla tanışmayı siz de çok istiyormuşsunuz.,8,filler
3036,.,.,.,Dün akşam evde fasulye ayıkladım.,8,filler
3019,.,.,.,Dün gece herkesle selam verdiğimi tespitliyormuşsunuz.,8,filler
5035,3,freq,3sg,Bu yaşta sokakta kalası yokmuş.,8,item
3018,.,.,.,Kendimi büyük sanıyormuşsun.,8,filler
5024,2,infreq,3pl,Görüşmede arabulucuyla uzlaşasıları yokmuş.,8,item
3044,.,.,.,Biz sizinle geceleri mekanlarda çıldırıyorsunuz.,8,filler
3014,.,.,.,Yarın işi bırakacağından mutsuzlarmıştı.,8,filler
3038,.,.,.,Yarın aylaklık yüzünden kalemler aradım.,8,filler
5043,4,infreq,2pl,Dün akşam ayakkabı boyatasınız yokmuş.,8,item
3011,.,.,.,Yılbaşı için tavuğu haşlamana şaşırdık.,8,filler
3020,.,.,.,Sinema etkinliğine sıkıcılaştırmamızda ısrarcısınız.,8,filler
5006,1,freq,3pl,Hafta sonu barınağa gidesileri varmış.,8,item
3032,.,.,.,Sırtınızı devlete dayamışsınız.,8,filler
3048,.,.,.,Akşamki rüzgar korkunç şekilde binayı esti.,8,filler
3004,.,.,.,Bana makarna pişireceğine söz vermiştin.,8,filler
5047,4,infreq,3sg,Yarışmada ödülü bölüşesi yokmuş.,8,item
3031,.,.,.,Sen her zaman başarılı oldun.,8,filler
5020,2,infreq,3pl,Okulda hocayla dertleşesileri yokmuş.,8,item
3027,.,.,.,Genellikle yemekten sonra mutfağı toplarım.,8,filler
3030,.,.,.,Bu arabanın yakıtı çok ekonomik.,8,filler
3006,.,.,.,Ders çalışmam herkesi hayrete düşürdü.,8,filler
5045,4,infreq,1sg,Pazarda satıcıyı oyalayasım yok.,8,item
3012,.,.,.,Benim için bu kadar çabalaması beni sevdiğini gösteriyor.,8,filler
3041,.,.,.,Bu akşam memleketten sel basmış.,8,filler
3009,.,.,.,Suçsuz olduğunuzu kanıtlamaya çalışıyorduk.,8,filler
5016,2,infreq,3pl,Mahkemede katille yüzleşesileri varmış.,8,item
3010,.,.,.,Bu projeyi hayata geçirdiğimizi duymuşsunuz.,8,filler
3001,.,.,.,Anneni özlediğini bilmiyordum.,8,filler
5008,1,freq,3pl,Müsabakada taraftara bakasıları yokmuş.,8,item
3022,.,.,.,Şu deveyi omuzlayabileceğini düşünmüştüktü.,8,filler
5027,3,freq,1sg,Haftaya bisiklet alasım var.,8,item
3024,.,.,.,Koltuklar tepelerinde oturduğunu ezberledik.,8,filler
5041,4,infreq,2sg,Bugün ufaklığı şımartasın varmış.,8,item
